"UID","Rec","Name","Inf","AT Apps","AT Gls","Salary","Min Fee Rls","Pas %","Str","xG"
18004457,"- -  -","Kevin De Bruyne","Inj","424","103","$22,088,000 p/a","-","-",13,"-"
85139014,"- -  -","Kylian Mbappé","","222","168","$57,689,000 p/a","-","85%",11,"4.11"
29179241,"- -  -","Erling Haaland","","193","151","$22,088,000 p/a","-","89%",17,"2.55"
67217524,"- -  -","Rodri","","280","19","$10,719,000 p/a","-","88%",16,"0.55"
55041632,"- -  -","Bernardo Silva","","346","64","$16,241,000 p/a","-","89%",9,"1.32"
98028755,"- -  -","Mohamed Salah","","403","195","$22,738,000 p/a","-","85%",15,"2.82"
28049320,"- -  -","Harry Kane","","377","231","$23,503,000 p/a","-","81%",15,"3.05"
719601,"- -  -","Robert Lewandowski","","540","406","$19,230,000 p/a","$536M","79%",16,"2.71"
19302146,"- -  -","Vinícius Júnior","","197","51","$22,221,000 p/a","$571M","83%",12,"4.96"
18026122,"- -  -","Thibaut Courtois","Inj","444","-","$16,491,000 p/a","$750M","-",14,"-"
55057659,"- -  -","Ederson","","331","-","$11,694,000 p/a","-","89%",13,"0.00"
55070299,"- -  -","Rúben Dias","","240","12","$11,369,000 p/a","-","91%",16,"0.35"
37024025,"- -  -","Virgil van Dijk","","365","34","$15,592,000 p/a","-","94%",17,"0.05"
29232937,"- -  -","Jude Bellingham","","136","16","$22,221,000 p/a","$1.07B","83%",13,"0.76"
19058734,"- -  -","Alisson","","259","1","$14,617,000 p/a","-","95%",15,"0.00"
92039023,"- -  -","Joshua Kimmich","","290","28","$18,696,000 p/a","-","95%",11,"1.23"
67086656,"- -  -","Antoine Griezmann","","500","185","$14,956,000 p/a","$536M","85%",10,"2.49"
13158205,"- -  -","Victor Osimhen","nEU","159","82","$7,353,000 p/a","-","83%",15,"1.17"
14110660,"- -  -","Lautaro Martínez","nEU","225","108","$11,902,000 p/a","-","79%",13,"2.23"
92020288,"- -  -","Heung-Min Son","","414","147","$12,798,000 p/a","-","83%",10,"0.95"
91138280,"- -  -","Leroy Sané","","237","57","$18,161,000 p/a","-","87%",11,"1.45"
85075627,"- -  -","Raphaël Varane","Inj","305","11","$22,738,000 p/a","-","-",15,"-"
28060397,"- -  -","John Stones","Inj","245","8","$12,993,000 p/a","-","-",15,"-"
35017428,"- -  -","Marc-André ter Stegen","","386","-","$8,333,000 p/a","$536M","84%",15,"0.00"
8718372,"- -  -","Manuel Neuer","Inj","501","-","$18,161,000 p/a","-","-",16,"-"
28108494,"- -  -","Phil Foden","","135","39","$8,445,000 p/a","-","84%",9,"1.77"
43139595,"- -  -","Nicolò Barella","","258","22","$9,920,000 p/a","-","82%",12,"1.15"
19220266,"- -  -","Gabriel Jesus","","237","87","$7,796,000 p/a","-","90%",14,"1.32"
83111483,"- -  -","Rafael Leão","","173","55","$9,559,000 p/a","$187M","81%",14,"0.88"
67228634,"- -  -","Achraf Hakimi","","193","27","$11,089,000 p/a","-","92%",11,"0.33"
653054,"- -  -","Luka Modrić","","593","78","$23,289,000 p/a","$803M","86%",8,"0.22"
43252073,"- -  -","Gianluigi Donnarumma","","275","-","$13,888,000 p/a","-","80%",16,"0.00"
64016316,"- -  -","Jan Oblak","","396","-","$19,838,000 p/a","$129M","87%",13,"0.00"
85140178,"- -  -","Ousmane Dembélé","","190","44","$10,056,000 p/a","-","84%",11,"1.13"
49056243,"- -  -","Eduardo Camavinga","","139","4","$8,867,000 p/a","$513M","89%",17,"0.51"
85104424,"- -  -","Kingsley Coman","","204","38","$16,025,000 p/a","-","84%",10,"1.57"
18007344,"- -  -","Romelu Lukaku","","451","212","$12,993,000 p/a","$46M","87%",20,"1.13"
63013145,"- -  -","Milan Škriniar","","319","22","$5,956,000 p/a","-","90%",18,"0.00"
43124203,"- -  -","Bruno Fernandes","","349","105","$16,241,000 p/a","-","87%",10,"0.52"
67022040,"- -  -","Thiago","Inj","335","28","$12,993,000 p/a","-","-",9,"-"
78085068,"- -  -","Ronald Araujo","","173","20","$8,034,000 p/a","$1.07B","96%",16,"0.22"
28054109,"- -  -","Raheem Sterling","","353","115","$22,738,000 p/a","-","85%",12,"2.80"
28106491,"- -  -","Declan Rice","","210","10","$16,241,000 p/a","-","89%",14,"0.81"
28122642,"- -  -","Bukayo Saka","","141","34","$16,241,000 p/a","-","81%",12,"3.14"
28009441,"- -  -","Kyle Walker","","426","9","$11,694,000 p/a","-","88%",13,"0.68"
53095137,"- -  -","Martin Ødegaard","","280","48","$7,796,000 p/a","-","93%",11,"1.01"
37055843,"- -  -","Matthijs de Ligt","","215","20","$17,093,000 p/a","-","94%",18,"0.24"
19306929,"- -  -","Rodrygo","","160","30","$8,585,000 p/a","$517M","87%",13,"3.01"
19163495,"- -  -","Marquinhos","","303","24","$15,384,000 p/a","-","96%",14,"0.34"
67293495,"- -  -","Pedri","","116","16","$9,615,000 p/a","$1.07B","87%",8,"1.61"
78074594,"- -  -","Federico Valverde","","209","16","$11,686,000 p/a","$361M","92%",14,"0.22"
14183207,"- -  -","Julián Álvarez","","111","44","$8,445,000 p/a","-","90%",13,"1.00"
28124579,"- -  -","Jamal Musiala","","102","25","$5,876,000 p/a","-","77%",9,"0.34"
91003875,"- -  -","İlkay Gündoğan","","349","62","$9,748,000 p/a","$429M","88%",13,"0.88"
89063073,"- -  -","Kim Min-Jae","","185","6","$12,820,000 p/a","-","92%",17,"0.36"
14000219,"- -  -","Ángel Di María","Frt","489","99","$2,646,000 p/a","-","80%",9,"1.18"
19061518,"- -  -","Casemiro","","359","38","$19,490,000 p/a","-","98%",17,"0.00"
37047745,"- -  -","Frenkie de Jong","","240","22","$14,998,000 p/a","$500M","90%",11,"0.00"
8833628,"- -  -","Thiago Silva","","507","28","$6,406,000 p/a","-","97%",13,"0.04"
19273276,"- -  -","Éder Militão","Inj","160","13","$9,920,000 p/a","$265M","-",16,"-"
16182894,"- -  -","Dayot Upamecano","","205","5","$11,752,000 p/a","-","91%",17,"0.00"
37025551,"- -  -","Nathan Aké","","208","16","$10,719,000 p/a","-","96%",15,"0.04"
35011448,"- -  -","Thomas Müller","","482","163","$18,696,000 p/a","-","78%",11,"0.69"
