"Unique_ID","Name_Detailed","Division","Nationality","Height","Age","Preferred_Foot","National_Team","Agility","Kicking","Jumping_Reach","Heading","Finishing","Dribbling","Balance","Anticipation","Aerial_Reach","Acceleration","One_On_Ones","Tackling","Stamina","Pace","Passing","Positioning","Strength","Vision","Scout_recommendation","Player_Status_Information_General","Continente","Preferred_Foot_dummy","National_Team_dummy","Europa","5_grandes_ligas"
18004457,"Kevin De Bruyne","English Premier Division","BEL",71,32,"Right","",13,2,10,6,16,16,14,14,2,16,2,9,16,14,18,10,13,20,"- -  -","Inj","Europa",0,0,1,1
85139014,"Kylian Mbappé","Ligue 1 Uber Eats","FRA",70,24,"Right","Main",16,3,8,8,17,18,14,17,2,20,1,4,14,20,15,3,11,15,"- -  -","","Europa",0,1,1,0
29179241,"Erling Haaland","English Premier Division","NOR",77,23,"Left","Main",16,3,18,15,18,14,17,19,4,17,4,7,14,19,13,7,17,14,"- -  -","","Europa",1,1,1,1
67217524,"Rodri","English Premier Division","ESP",75,27,"Right","Main",13,3,17,13,13,13,12,17,1,14,3,17,17,13,16,17,16,16,"- -  -","","Europa",0,1,1,1
55041632,"Bernardo Silva","English Premier Division","POR",68,29,"Left","Main",19,2,7,10,15,17,16,16,2,15,3,8,17,14,17,13,9,17,"- -  -","","Europa",1,1,1,1
98028755,"Mohamed Salah","English Premier Division","EGY",69,31,"Left","Main",16,3,8,10,16,16,17,16,1,18,3,6,15,17,15,8,15,17,"- -  -","","Africa",1,1,0,1
28049320,"Harry Kane","Bundesliga","ENG",74,30,"Right","Main",12,1,15,16,19,14,15,15,3,12,2,9,16,14,18,8,15,19,"- -  -","","Europa",0,1,1,1
719601,"Robert Lewandowski","Spanish First Division","POL",73,35,"Right","Main",13,2,15,17,18,13,18,17,2,13,3,7,16,14,13,7,16,14,"- -  -","","Europa",0,1,1,1
19302146,"Vinícius Júnior","Spanish First Division","BRA",69,23,"Right","Main",16,2,8,12,16,19,16,16,3,19,2,6,16,18,15,9,12,14,"- -  -","","Sudamerica",0,1,0,1
18026122,"Thibaut Courtois","Spanish First Division","BEL",79,31,"Left","",13,16,18,10,1,10,14,15,20,12,18,2,8,11,13,16,14,9,"- -  -","Inj","Europa",1,0,1,1
55057659,"Ederson","English Premier Division","BRA",74,30,"Left","Main",13,20,13,9,3,11,13,17,13,14,14,1,14,13,18,16,13,17,"- -  -","","Sudamerica",1,1,0,1
55070299,"Rúben Dias","English Premier Division","POR",73,26,"Right","Main",13,3,16,15,6,12,12,17,4,13,2,18,18,13,14,17,16,13,"- -  -","","Europa",0,1,1,1
37024025,"Virgil van Dijk","English Premier Division","NED",76,32,"Right","Main",12,3,17,17,8,13,15,16,2,15,4,17,15,15,16,16,17,14,"- -  -","","Europa",0,1,1,1
29232937,"Jude Bellingham","Spanish First Division","ENG",73,20,"Right","Main",15,1,12,14,16,17,14,16,1,15,3,15,16,14,17,12,13,16,"- -  -","","Europa",0,1,1,1
19058734,"Alisson","English Premier Division","BRA",75,30,"Right","Main",16,15,14,7,1,10,16,17,15,13,18,1,12,12,14,18,15,11,"- -  -","","Sudamerica",0,1,0,1
92039023,"Joshua Kimmich","Bundesliga","GER",70,28,"Right","",12,4,10,10,10,12,13,15,1,12,3,13,19,12,18,12,11,18,"- -  -","","Europa",0,0,1,1
67086656,"Antoine Griezmann","Spanish First Division","FRA",69,32,"Left","Main",14,4,9,13,14,16,14,15,3,15,2,10,15,14,16,9,10,17,"- -  -","","Europa",1,1,1,1
