"Temporada","Liga","Equipo","Jugador","Posición","Valor.de.Mercado","URL.Perfil","URL.Rendimiento","Partidos","Goles","Asistencias","Amarillas","Segundas_Amarillas","Rojas","Minutos.Jugados"
2022,"Premier League","Manchester City","Ederson","Goalkeeper","€40.00m","https://www.transfermarkt.com/ederson/profil/spieler/238223","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/238223/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","48","-","5 / - / -","39",NA,NA,"4.275'"
2022,"Premier League","Manchester City","Stefan Ortega","Goalkeeper","€9.00m","https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/85941/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","14","-","1 / - / -","7",NA,NA,"1.215'"
2022,"Premier League","Manchester City","Zack Steffen","Goalkeeper","€3.50m","https://www.transfermarkt.com/zack-steffen/profil/spieler/221624","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/221624/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","45","-","2 / - / -","56",NA,NA,"4.050'"
2022,"Premier League","Manchester City","Scott Carson","Goalkeeper","€200k","https://www.transfermarkt.com/scott-carson/profil/spieler/14555","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/14555/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","-","-","- / - / -","-",NA,NA,"-"
2022,"Premier League","Manchester City","Rúben Dias","Centre-Back","€80.00m","https://www.transfermarkt.com/ruben-dias/profil/spieler/258004","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/258004/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","43","1","-","6 "," - "," -","3.468'"
2022,"Premier League","Manchester City","Nathan Aké","Centre-Back","€42.00m","https://www.transfermarkt.com/nathan-ake/profil/spieler/177476","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/177476/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","41","3","-","3 "," - "," -","2.893'"
2022,"Premier League","Manchester City","John Stones","Centre-Back","€40.00m","https://www.transfermarkt.com/john-stones/profil/spieler/186590","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/186590/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","34","3","3","2 "," - "," -","2.698'"
2022,"Premier League","Manchester City","Manuel Akanji","Centre-Back","€38.00m","https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/284730/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","48","1","1","4 "," - "," -","3.814'"
2022,"Premier League","Manchester City","Aymeric Laporte","Centre-Back","€25.00m","https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/176553/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","24","-","1","1 "," - "," -","1.862'"
2022,"Premier League","Manchester City","Luke Mbete","Centre-Back","€2.00m","https://www.transfermarkt.com/luke-mbete/profil/spieler/609883","https://www.transfermarkt.com/profil/leistungsdatendetails/spieler/609883/plus/0?saison=2022&verein=&liga=&wettbewerb=&pos=&trainer_id=","17","1","-","4 "," - "," -","1.097'"
